ym,ccode,gen_share,load_share
2020-05-01,SE,0.06671922043010753,0.07785483870967742
2020-05-01,SI,0.038711155913978494,0.04818266129032258
2020-05-01,SK,0.022379838709677417,0.022556720430107525
2020-06-01,AT,NA,0.10321555555555556
2020-06-01,BE,0.021983194444444444,0.02257708333333333
2020-06-01,BG,0.01894722222222222,0.02325986111111111
2020-06-01,CZ,0.014843888888888887,0.017995138888888887
2020-06-01,DE,0.04909229166666666,0.04845680555555555
2020-06-01,DK,0.0698675,0.04435083333333333
2020-06-01,EE,0.03903222222222222,0.02147013888888889
2020-06-01,ES,0.04623583333333333,0.04656930555555555
2020-06-01,FI,0.043734166666666664,0.03471375
2020-06-01,FR,0.027705,0.03080958333333333
2020-06-01,GR,0.03056958333333333,0.021214305555555556
2020-06-01,HR,0.057243333333333334,0.03976736111111111
2020-06-01,HU,0.014689479166666665,0.010610763888888888
2020-06-01,IE,0.03772534722222222,NA
2020-06-01,IT,0.04679069444444444,0.046453888888888885
2020-06-01,LT,0.039246805555555556,0.014618194444444444
2020-06-01,LU,0.07965649305555556,0.017822083333333332
2020-06-01,LV,NA,NA
2020-06-01,NL,0.009425555555555555,0.008712083333333332
2020-06-01,NO,0.09780180555555555,0.11681458333333333
2020-06-01,PL,0.01194375,0.009882916666666667
2020-06-01,PT,0.053247361111111106,0.047460555555555554
2020-06-01,RO,0.0524575,0.050749583333333334
2020-06-01,SE,0.06649472222222222,0.07389666666666667
2020-06-01,SI,0.03744986111111111,0.05238152777777778
2020-06-01,SK,NA,NA
2020-07-01,AT,0.08176989247311828,0.09241666666666666
2020-07-01,BE,0.020139247311827955,0.02266720430107527
2020-07-01,BG,0.016043817204301074,0.018911155913978493
2020-07-01,CZ,0.016351344086021503,0.01865
2020-07-01,DE,0.0488320564516129,0.04936397849462366
2020-07-01,DK,0.07464354838709678,0.06136209677419355
2020-07-01,EE,0.042317069892473115,0.02397768817204301
2020-07-01,ES,0.039824596774193546,0.04141075268817204
2020-07-01,FI,0.04543790322580645,0.03501290322580645
2020-07-01,FR,0.024518951612903225,0.025439247311827954
2020-07-01,GR,0.03046545698924731,0.022600940860215052
2020-07-01,HR,0.05348602150537634,0.03260981182795699
2020-07-01,HU,0.013016969086021504,0.010070799731182795
2020-07-01,IE,0.040355309139784946,NA
2020-07-01,IT,0.037575940860215054,0.033658736559139785
2020-07-01,LT,0.0424255376344086,0.018013978494623654
2020-07-01,LU,0.08138108198924732,0.017450134408602148
2020-07-01,LV,0.05917970430107527,0.026085618279569893
2020-07-01,NL,0.009032123655913977,0.00920524193548387
2020-07-01,NO,NA,NA
2020-07-01,PL,0.011625940860215053,0.009763172043010752
2020-07-01,PT,0.03920349462365591,0.03343239247311828
2020-07-01,RO,0.04971559139784946,0.04752083333333333
2020-07-01,SE,0.06153373655913978,0.07622594086021506
2020-07-01,SI,0.0332135752688172,0.045572177419354834
