Tipo de residuo;Tipo de tratamiento;Clase de peligrosidad;periodo;Total
01.1. Disolventes usados;Incineración;PELIGROSO;2018;26.850
01.1. Disolventes usados;Incineración;PELIGROSO;2017;25.668
01.1. Disolventes usados;Incineración;PELIGROSO;2016;22.083
01.1. Disolventes usados;Incineración;PELIGROSO;2015;43.553
01.1. Disolventes usados;Incineración;PELIGROSO;2014;28.643
01.1. Disolventes usados;Incineración;PELIGROSO;2013;29.830
01.1. Disolventes usados;Incineración;PELIGROSO;2012;30.103
01.1. Disolventes usados;Incineración;PELIGROSO;2011;34.428
01.1. Disolventes usados;Incineración;PELIGROSO;2010;45.632
01.1. Disolventes usados;Incineración;TOTAL GENERAL;2020;13.920
01.1. Disolventes usados;Incineración;TOTAL GENERAL;2019;21.893
01.1. Disolventes usados;Incineración;TOTAL GENERAL;2018;26.850
01.1. Disolventes usados;Incineración;TOTAL GENERAL;2017;25.668
01.1. Disolventes usados;Incineración;TOTAL GENERAL;2016;22.083
01.1. Disolventes usados;Incineración;TOTAL GENERAL;2015;43.553
01.1. Disolventes usados;Incineración;TOTAL GENERAL;2014;28.643
01.1. Disolventes usados;Incineración;TOTAL GENERAL;2013;29.830
01.1. Disolventes usados;Incineración;TOTAL GENERAL;2012;30.103
01.1. Disolventes usados;Incineración;TOTAL GENERAL;2011;34.428
01.1. Disolventes usados;Incineración;TOTAL GENERAL;2010;45.632
01.1. Disolventes usados;Total;NO PELIGROSO;2020;..
01.1. Disolventes usados;Total;NO PELIGROSO;2019;..
01.1. Disolventes usados;Total;NO PELIGROSO;2018;..
01.1. Disolventes usados;Total;NO PELIGROSO;2017;..
01.1. Disolventes usados;Total;NO PELIGROSO;2016;..
01.1. Disolventes usados;Total;NO PELIGROSO;2015;..
01.1. Disolventes usados;Total;NO PELIGROSO;2014;..
01.1. Disolventes usados;Total;NO PELIGROSO;2013;..
01.1. Disolventes usados;Total;NO PELIGROSO;2012;..
01.1. Disolventes usados;Total;NO PELIGROSO;2011;..
01.1. Disolventes usados;Total;NO PELIGROSO;2010;0
01.1. Disolventes usados;Total;PELIGROSO;2020;114.232
01.1. Disolventes usados;Total;PELIGROSO;2019;156.942
01.1. Disolventes usados;Total;PELIGROSO;2018;144.871
01.1. Disolventes usados;Total;PELIGROSO;2017;139.629
01.1. Disolventes usados;Total;PELIGROSO;2016;143.639
01.1. Disolventes usados;Total;PELIGROSO;2015;165.985
01.1. Disolventes usados;Total;PELIGROSO;2014;151.925
01.1. Disolventes usados;Total;PELIGROSO;2013;190.129
01.1. Disolventes usados;Total;PELIGROSO;2012;190.131
01.1. Disolventes usados;Total;PELIGROSO;2011;161.527
01.1. Disolventes usados;Total;PELIGROSO;2010;181.730
01.1. Disolventes usados;Total;TOTAL GENERAL;2020;114.232
01.1. Disolventes usados;Total;TOTAL GENERAL;2019;156.942
01.1. Disolventes usados;Total;TOTAL GENERAL;2018;144.871
01.1. Disolventes usados;Total;TOTAL GENERAL;2017;139.629
01.1. Disolventes usados;Total;TOTAL GENERAL;2016;143.639
01.1. Disolventes usados;Total;TOTAL GENERAL;2015;165.985
01.1. Disolventes usados;Total;TOTAL GENERAL;2014;151.925
01.1. Disolventes usados;Total;TOTAL GENERAL;2013;190.129
01.1. Disolventes usados;Total;TOTAL GENERAL;2012;190.131
01.1. Disolventes usados;Total;TOTAL GENERAL;2011;161.527
01.1. Disolventes usados;Total;TOTAL GENERAL;2010;181.730
01.2. Residuos ácidos, alcalinos o salinos;Recuperación;NO PELIGROSO;2020;10.787
01.2. Residuos ácidos, alcalinos o salinos;Recuperación;NO PELIGROSO;2019;17.238
01.2. Residuos ácidos, alcalinos o salinos;Recuperación;NO PELIGROSO;2018;12.040
01.2. Residuos ácidos, alcalinos o salinos;Recuperación;NO PELIGROSO;2017;8.817
01.2. Residuos ácidos, alcalinos o salinos;Recuperación;NO PELIGROSO;2016;22.641
01.2. Residuos ácidos, alcalinos o salinos;Recuperación;NO PELIGROSO;2015;7.336
01.2. Residuos ácidos, alcalinos o salinos;Recuperación;NO PELIGROSO;2014;13.489
01.2. Residuos ácidos, alcalinos o salinos;Recuperación;NO PELIGROSO;2013;35.236
01.2. Residuos ácidos, alcalinos o salinos;Recuperación;NO PELIGROSO;2012;9.830
01.2. Residuos ácidos, alcalinos o salinos;Recuperación;NO PELIGROSO;2011;73.272
01.2. Residuos ácidos, alcalinos o salinos;Recuperación;NO PELIGROSO;2010;70.065
01.2. Residuos ácidos, alcalinos o salinos;Recuperación;PELIGROSO;2020;198.221
01.2. Residuos ácidos, alcalinos o salinos;Recuperación;PELIGROSO;2019;249.397
01.2. Residuos ácidos, alcalinos o salinos;Recuperación;PELIGROSO;2018;261.125
01.2. Residuos ácidos, alcalinos o salinos;Recuperación;PELIGROSO;2017;233.004
01.2. Residuos ácidos, alcalinos o salinos;Recuperación;PELIGROSO;2016;229.294
01.2. Residuos ácidos, alcalinos o salinos;Recuperación;PELIGROSO;2015;220.184
01.2. Residuos ácidos, alcalinos o salinos;Recuperación;PELIGROSO;2014;224.099
01.2. Residuos ácidos, alcalinos o salinos;Recuperación;PELIGROSO;2013;154.859
01.2. Residuos ácidos, alcalinos o salinos;Recuperación;PELIGROSO;2012;105.471
01.2. Residuos ácidos, alcalinos o salinos;Recuperación;PELIGROSO;2011;206.666
01.2. Residuos ácidos, alcalinos o salinos;Recuperación;PELIGROSO;2010;143.676
01.2. Residuos ácidos, alcalinos o salinos;Recuperación;TOTAL GENERAL;2020;209.008
01.2. Residuos ácidos, alcalinos o salinos;Recuperación;TOTAL GENERAL;2019;266.635
01.2. Residuos ácidos, alcalinos o salinos;Recuperación;TOTAL GENERAL;2018;273.165
01.2. Residuos ácidos, alcalinos o salinos;Recuperación;TOTAL GENERAL;2017;241.821
01.2. Residuos ácidos, alcalinos o salinos;Recuperación;TOTAL GENERAL;2016;251.935
01.2. Residuos ácidos, alcalinos o salinos;Recuperación;TOTAL GENERAL;2015;227.520
01.2. Residuos ácidos, alcalinos o salinos;Recuperación;TOTAL GENERAL;2014;237.588
01.2. Residuos ácidos, alcalinos o salinos;Recuperación;TOTAL GENERAL;2013;190.095
01.2. Residuos ácidos, alcalinos o salinos;Recuperación;TOTAL GENERAL;2012;115.301
01.2. Residuos ácidos, alcalinos o salinos;Recuperación;TOTAL GENERAL;2011;279.938
01.2. Residuos ácidos, alcalinos o salinos;Recuperación;TOTAL GENERAL;2010;213.741
01.2. Residuos ácidos, alcalinos o salinos;Operaciones de relleno;NO PELIGROSO;2020;0
01.2. Residuos ácidos, alcalinos o salinos;Operaciones de relleno;NO PELIGROSO;2019;0
01.2. Residuos ácidos, alcalinos o salinos;Operaciones de relleno;NO PELIGROSO;2018;0
01.2. Residuos ácidos, alcalinos o salinos;Operaciones de relleno;NO PELIGROSO;2017;0
01.2. Residuos ácidos, alcalinos o salinos;Operaciones de relleno;NO PELIGROSO;2016;0
01.2. Residuos ácidos, alcalinos o salinos;Operaciones de relleno;NO PELIGROSO;2015;0
01.2. Residuos ácidos, alcalinos o salinos;Operaciones de relleno;NO PELIGROSO;2014;0
01.2. Residuos ácidos, alcalinos o salinos;Operaciones de relleno;NO PELIGROSO;2013;0
01.2. Residuos ácidos, alcalinos o salinos;Operaciones de relleno;NO PELIGROSO;2012;0
01.2. Residuos ácidos, alcalinos o salinos;Operaciones de relleno;NO PELIGROSO;2011;0
01.2. Residuos ácidos, alcalinos o salinos;Operaciones de relleno;NO PELIGROSO;2010;0
01.2. Residuos ácidos, alcalinos o salinos;Operaciones de relleno;PELIGROSO;2020;0
01.2. Residuos ácidos, alcalinos o salinos;Operaciones de relleno;PELIGROSO;2019;0
01.2. Residuos ácidos, alcalinos o salinos;Operaciones de relleno;PELIGROSO;2018;0
01.2. Residuos ácidos, alcalinos o salinos;Operaciones de relleno;PELIGROSO;2017;0
01.2. Residuos ácidos, alcalinos o salinos;Operaciones de relleno;PELIGROSO;2016;0
01.2. Residuos ácidos, alcalinos o salinos;Operaciones de relleno;PELIGROSO;2015;0
01.2. Residuos ácidos, alcalinos o salinos;Operaciones de relleno;PELIGROSO;2014;0
01.2. Residuos ácidos, alcalinos o salinos;Operaciones de relleno;PELIGROSO;2013;0
01.2. Residuos ácidos, alcalinos o salinos;Operaciones de relleno;PELIGROSO;2012;0
01.2. Residuos ácidos, alcalinos o salinos;Operaciones de relleno;PELIGROSO;2011;0
01.2. Residuos ácidos, alcalinos o salinos;Operaciones de relleno;PELIGROSO;2010;0
01.2. Residuos ácidos, alcalinos o salinos;Operaciones de relleno;TOTAL GENERAL;2020;0
01.2. Residuos ácidos, alcalinos o salinos;Operaciones de relleno;TOTAL GENERAL;2019;0
01.2. Residuos ácidos, alcalinos o salinos;Operaciones de relleno;TOTAL GENERAL;2018;0
01.2. Residuos ácidos, alcalinos o salinos;Operaciones de relleno;TOTAL GENERAL;2017;0
01.2. Residuos ácidos, alcalinos o salinos;Operaciones de relleno;TOTAL GENERAL;2016;0
01.2. Residuos ácidos, alcalinos o salinos;Operaciones de relleno;TOTAL GENERAL;2015;0
01.2. Residuos ácidos, alcalinos o salinos;Operaciones de relleno;TOTAL GENERAL;2014;0
01.2. Residuos ácidos, alcalinos o salinos;Operaciones de relleno;TOTAL GENERAL;2013;0
01.2. Residuos ácidos, alcalinos o salinos;Operaciones de relleno;TOTAL GENERAL;2012;0
01.2. Residuos ácidos, alcalinos o salinos;Operaciones de relleno;TOTAL GENERAL;2011;0
01.2. Residuos ácidos, alcalinos o salinos;Operaciones de relleno;TOTAL GENERAL;2010;0
01.2. Residuos ácidos, alcalinos o salinos;Vertido;NO PELIGROSO;2020;90.063
01.2. Residuos ácidos, alcalinos o salinos;Vertido;NO PELIGROSO;2019;110.633
01.2. Residuos ácidos, alcalinos o salinos;Vertido;NO PELIGROSO;2018;117.488
01.2. Residuos ácidos, alcalinos o salinos;Vertido;NO PELIGROSO;2017;98.149
01.2. Residuos ácidos, alcalinos o salinos;Vertido;NO PELIGROSO;2016;98.640
